Importers	2008-M07-Exported quantity, Tons	2008-M08-Exported quantity, Tons	2008-M09-Exported quantity, Tons	2008-M10-Exported quantity, Tons	2008-M11-Exported quantity, Tons	2008-M12-Exported quantity	2008-M12-Unit	2009-M01-Exported quantity, Tons	2009-M02-Exported quantity, Tons	2009-M03-Exported quantity, Tons	2009-M04-Exported quantity, Tons	2009-M05-Exported quantity, Tons	2009-M06-Exported quantity, Tons	2009-M07-Exported quantity, Tons	2009-M08-Exported quantity, Tons	2009-M09-Exported quantity, Tons	2009-M10-Exported quantity, Tons	2009-M11-Exported quantity, Tons	2009-M12-Exported quantity, Tons	2010-M01-Exported quantity, Tons	2010-M02-Exported quantity, Tons	
"Italy"	21	42	42	21	210	0		10	22	0	21	42	0	21	0	0	0	20	22	0	0	
"Japan"	13	184	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kazakhstan"	0	0	0	0	65	60	Tons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kenya"	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	9	0	0	0	0	
"Malaysia"	0	0	0	0	11	0		0	0	0	0	0	0	0	0	0	0	0	11	0	0	
"Maldives"	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	15	0	0	0	0	
"Gibraltar"	0	0	5	0	2	0		6	0	4	5	0	4	0	8	0	0	0	1	5	0	
"Mauritius"	0	0	7	0	0	0		12	0	0	0	9	0	0	0	0	0	0	9	0	0	
"Morocco"	500	0	0	0	0	100	Tons	0	0	0	0	0	100	200	0	0	0	0	0	0	0	
"Oman"	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	10	0	
"Namibia"	12	0	0	0	0	0		0	0	0	0	0	0	12	0	0	0	0	0	0	0	
"Slovakia"	0	0	0	0	0	0		0	0	0	0	0	0	45	0	0	68	0	0	0	0	
"Special categories"	0	0	0	20	0	0		0	0	0	0	0	0	21	0	0	0	0	0	0	0	
"United States of America"	5	13	6	0	0	9	Tons	0	0	0	0	8	0	0	0	0	0	0	0	0	0	
"United States Minor Outlying Islands"	0	0	0	16	20	0		0	0	0	0	16	0	0	0	20	17	0	0	0	0	
"Uzbekistan"	0	0	0	232	236	60	Tons	144	0	38	0	18	0	0	0	0	0	0	0	0	0	
"Venezuela, Bolivarian Republic of"	20	20	20	0	0	0		20	0	0	0	19	20	0	0	37	19	0	0	14	0	
"Nigeria"	19	0	0	19	0	19	Tons	0	0	0	0	38	0	0	0	0	0	19	19	0	0	
"Poland"	0	0	0	0	0	0		0	0	0	0	68	113	135	68	23	68	45	23	0	0	
"Saint Vincent and the Grenadines"	0	0	4	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	0	0	0	100	Tons	0	0	0	0	0	0	0	0	0	0	14	0	0	0	
"Trinidad and Tobago"	14	37	0	15	0	0		0	16	0	0	18	0	0	13	0	0	16	0	17	0	
"United Arab Emirates"	160	0	0	0	50	0		0	0	0	9	0	0	0	10	0	0	0	0	0	0	
"Türkiye"	0	0	0	0	260	0		0	200	0	0	0	0	0	0	0	0	0	0	0	0	
"Turkmenistan"	0	0	0	0	50	0		0	0	0	0	0	0	0	0	0	0	25	0	0	0	
"Egypt"	0	0	150	0	104	0		0	499	603	1078	924	475	400	300	0	0	0	0	0	0	
